surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
96,1,1,ٱقۡرَأۡ,2.72,3.2,
96,1,2,بِٱسۡمِ,3.36,3.76,
96,1,3,رَبِّكَ,3.84,4.24,
96,1,4,ٱلَّذِی,4.4,4.8,
96,1,5,خَلَقَ,4.88,4.96,
96,2,1,خَلَقَ,5.6,5.68,
96,2,2,ٱلۡإِنسَـٰنَ,6.32,7.12,
96,2,3,مِنۡ,7.36,7.44,
96,2,4,عَلَقٍ,7.6,8.08,
96,3,1,ٱقۡرَأۡ,8.48,8.88,
96,3,2,وَرَبُّكَ,9.2,9.84,
96,3,3,ٱلۡأَكۡرَمُ,10.0,10.64,
96,4,1,ٱلَّذِی,10.96,11.36,
96,4,2,عَلَّمَ,11.44,11.52,
96,4,3,بِٱلۡقَلَمِ,12.08,12.8,
96,5,1,عَلَّمَ,13.2,13.28,
96,5,2,ٱلۡإِنسَـٰنَ,14.0,14.64,
96,5,3,مَا,14.96,15.04,
96,5,4,لَمۡ,15.28,15.36,
96,5,5,یَعۡلَمۡ,15.44,15.84,
96,6,1,كَلَّاۤ,16.4,16.8,
96,6,2,إِنَّ,17.04,17.12,
96,6,3,ٱلۡإِنسَـٰنَ,17.84,18.8,
96,6,4,لَیَطۡغَىٰۤ,18.88,19.76,
96,7,1,أَن,20.0,20.08,
96,7,2,رَّءَاهُ,20.32,20.88,
96,7,3,ٱسۡتَغۡنَىٰۤ,20.96,21.52,
96,8,1,إِنَّ,22.08,22.16,
96,8,2,إِلَىٰ,22.64,22.96,
96,8,3,رَبِّكَ,23.04,23.52,
96,8,4,ٱلرُّجۡعَىٰۤ,23.68,24.4,
96,9,1,أَرَءَیۡتَ,24.64,25.36,
96,9,2,ٱلَّذِی,25.52,25.84,
96,9,3,یَنۡهَىٰ,25.84,26.56,
96,10,1,عَبۡدًا,26.64,27.2,
96,10,2,إِذَا,27.28,27.52,
96,10,3,صَلَّىٰۤ,27.68,28.0,
96,11,1,أَرَءَیۡتَ,28.56,29.28,
96,11,2,إِن,29.36,29.44,
96,11,3,كَانَ,29.84,29.92,
96,11,4,عَلَى,30.32,30.4,
96,11,5,ٱلۡهُدَىٰۤ,30.64,31.04,
96,12,1,أَوۡ,31.36,31.44,
96,12,2,أَمَرَ,31.68,31.92,
96,12,3,بِٱلتَّقۡوَىٰۤ,32.16,32.88,
96,13,1,أَرَءَیۡتَ,33.28,34.0,
96,13,2,إِن,34.08,34.16,
96,13,3,كَذَّبَ,34.56,34.88,
96,13,4,وَتَوَلَّىٰۤ,35.2,36.0,
96,14,1,أَلَمۡ,36.4,36.48,
96,14,2,یَعۡلَم,36.56,37.12,
96,14,3,بِأَنَّ,37.92,38.4,
96,14,4,ٱللَّهَ,38.88,38.96,
96,14,5,یَرَىٰ,39.36,39.76,
96,15,1,كَلَّا,40.24,40.64,
96,15,2,لَئِن,40.8,41.12,
96,15,3,لَّمۡ,41.28,41.36,
96,15,4,یَنتَهِ,41.36,42.16,
96,15,5,لَنَسۡفَعَۢا,42.32,43.2,
96,15,6,بِٱلنَّاصِیَةِ,43.44,44.56,
96,16,1,نَاصِیَةࣲ,44.88,46.0,
96,16,2,كَـٰذِبَةٍ,46.16,46.72,
96,16,3,خَاطِئَةࣲ,46.88,47.68,
96,17,1,فَلۡیَدۡعُ,47.84,48.56,
96,17,2,نَادِیَهُۥ,48.72,49.36,
96,18,1,سَنَدۡعُ,49.52,50.08,
96,18,2,ٱلزَّبَانِیَةَ,50.24,51.2,
96,19,1,كَلَّا,51.36,51.84,
96,19,2,لَا,52.0,52.08,
96,19,3,تُطِعۡهُ,52.32,53.04,
96,19,4,وَ̅ٱ̅سۡ̅جُ̅دۡ̅,53.12,53.92,
96,19,5,وَٱقۡتَرِب,53.92,54.8,
96,19,6,۩,55.922,56.698,
