surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
101,1,1,ٱلۡقَارِعَةُ,3.04,3.76,
101,2,1,مَا,3.84,3.92,
101,2,2,ٱلۡقَارِعَةُ,4.16,4.96,
101,3,1,وَمَاۤ,5.28,5.36,
101,3,2,أَدۡرَىٰكَ,5.92,6.72,
101,3,3,مَا,6.88,6.96,
101,3,4,ٱلۡقَارِعَةُ,7.2,8.0,
101,4,1,یَوۡمَ,8.0,8.56,
101,4,2,یَكُونُ,8.8,9.36,
101,4,3,ٱلنَّاسُ,9.76,9.84,
101,4,4,كَٱلۡفَرَاشِ,10.4,11.44,
101,4,5,ٱلۡمَبۡثُوثِ,11.6,12.64,
101,5,1,وَتَكُونُ,13.12,13.6,
101,5,2,ٱلۡجِبَالُ,14.16,14.72,
101,5,3,كَٱلۡعِهۡنِ,14.88,15.68,
101,5,4,ٱلۡمَنفُوشِ,15.92,16.96,
101,6,1,فَأَمَّا,17.52,18.0,
101,6,2,مَن,18.4,18.48,
101,6,3,ثَقُلَتۡ,18.96,19.68,
101,6,4,مَوَ,19.76,20.08,
101,6,5,ٰزِینُهُۥ,20.24,20.88,
101,7,1,فَهُوَ,21.04,21.12,
101,7,2,فِی,21.28,21.68,
101,7,3,عِیشَةࣲ,21.84,22.64,
101,7,4,رَّاضِیَةࣲ,22.72,23.68,
101,8,1,وَأَمَّا,23.92,24.32,
101,8,2,مَنۡ,24.8,24.88,
101,8,3,خَفَّتۡ,25.12,25.44,
101,8,4,مَوَ,25.84,26.16,
101,8,5,ٰزِینُهُۥ,26.32,26.88,
101,9,1,فَأُمُّهُۥ,27.04,28.08,
101,9,2,هَاوِیَةࣱ,28.24,29.6,
101,10,1,وَمَاۤ,29.68,29.76,
101,10,2,أَدۡرَىٰكَ,30.0,30.8,
101,10,3,مَا,30.96,31.04,
101,10,4,هِیَهۡ,31.2,31.76,
101,11,1,نَارٌ,32.08,32.48,
101,11,2,حَامِیَةُۢ,32.88,33.92,
