surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
91,1,1,وَٱلشَّمۡسِ,2.8,3.28,
91,1,2,وَضُحَىٰهَا,3.52,4.4,
91,2,1,وَٱلۡقَمَرِ,4.72,5.28,
91,2,2,إِذَا,5.52,5.84,
91,2,3,تَلَىٰهَا,5.92,6.56,
91,3,1,وَٱلنَّهَارِ,6.96,7.68,
91,3,2,إِذَا,8.0,8.32,
91,3,3,جَلَّىٰهَا,8.4,9.2,
91,4,1,وَٱلَّیۡلِ,9.6,10.32,
91,4,2,إِذَا,10.4,10.64,
91,4,3,یَغۡشَىٰهَا,10.64,11.6,
91,5,1,وَٱلسَّمَاۤءِ,12.0,13.12,
91,5,2,وَمَا,13.36,13.44,
91,5,3,بَنَىٰهَا,13.76,14.4,
91,6,1,وَٱلۡأَرۡضِ,14.72,15.44,
91,6,2,وَمَا,15.6,15.68,
91,6,3,طَحَىٰهَا,15.92,16.64,
91,7,1,وَنَفۡسࣲ,16.96,17.76,
91,7,2,وَمَا,17.84,17.92,
91,7,3,سَوَّىٰهَا,18.32,19.04,
91,8,1,فَأَلۡهَمَهَا,19.52,20.48,
91,8,2,فُجُورَهَا,20.56,21.44,
91,8,3,وَتَقۡوَىٰهَا,21.52,22.48,
91,9,1,قَدۡ,22.88,22.96,
91,9,2,أَفۡلَحَ,23.2,23.84,
91,9,3,مَن,23.92,24.0,
91,9,4,زَكَّىٰهَا,24.32,25.12,
91,10,1,وَقَدۡ,25.52,25.6,
91,10,2,خَابَ,26.0,26.48,
91,10,3,مَن,26.64,26.72,
91,10,4,دَسَّىٰهَا,27.04,27.84,
91,11,1,كَذَّبَتۡ,28.32,29.04,
91,11,2,ثَمُودُ,29.12,29.6,
91,11,3,بِطَغۡوَىٰهَاۤ,29.76,30.64,
91,12,1,إِذِ,30.88,31.2,
91,12,2,ٱنۢبَعَثَ,31.28,32.0,
91,12,3,أَشۡقَىٰهَا,32.16,32.88,
91,13,1,فَقَالَ,33.28,33.36,
91,13,2,لَهُمۡ,33.92,34.0,
91,13,3,رَسُولُ,34.64,34.72,
91,13,4,ٱللَّهِ,35.12,35.2,
91,13,5,نَاقَةَ,35.6,36.16,
91,13,6,ٱللَّهِ,36.4,36.48,
91,13,7,وَسُقۡیَـٰهَا,36.8,37.76,
91,14,1,فَكَذَّبُوهُ,38.24,39.28,
91,14,2,فَعَقَرُوهَا,39.36,40.32,
91,14,3,فَدَمۡدَمَ,40.72,41.52,
91,14,4,عَلَیۡهِمۡ,41.68,42.16,
91,14,5,رَبُّهُم,42.32,42.96,
91,14,6,بِذَنۢبِهِمۡ,43.28,44.4,
91,14,7,فَسَوَّىٰهَا,44.56,45.6,
91,15,1,وَلَا,46.24,46.32,
91,15,2,یَخَافُ,46.48,47.28,
91,15,3,عُقۡبَـٰهَا,47.44,48.48,
