surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
99,1,1,إِذَا,2.767,3.24,,native,100.0,nemo
99,1,2,زُلۡزِلَتِ,3.263,3.911,,native,100.0,nemo
99,1,3,ٱلۡأَرۡضُ,4.165,4.492,,native,100.0,nemo
99,1,4,زِلۡزَالَهَا,4.67,5.576,,native,100.0,nemo
99,2,1,وَأَخۡرَجَتِ,6.162,6.993,,native,100.0,nemo
99,2,2,ٱلۡأَرۡضُ,7.223,7.537,,native,100.0,nemo
99,2,3,أَثۡقَالَهَا,7.695,8.659,,native,100.0,nemo
99,3,1,وَقَالَ,9.165,9.185,,native,100.0,nemo
99,3,2,ٱلۡإِنسَـٰنُ,10.004,11.184,,native,100.0,nemo
99,3,3,مَا,11.184,11.204,,native,100.0,nemo
99,3,4,لَهَا,11.516,11.711,,native,100.0,nemo
99,4,1,یَوۡمَئِذࣲ,12.358,13.27,,native,100.0,nemo
99,4,2,تُحَدِّثُ,13.565,13.952,,native,100.0,nemo
99,4,3,أَخۡبَارَهَا,14.557,15.251,,native,100.0,nemo
99,5,1,بِأَنَّ,15.529,16.18,,native,100.0,nemo
99,5,2,رَبَّكَ,16.325,16.835,,native,100.0,nemo
99,5,3,أَوۡحَىٰ,16.84,17.618,,native,100.0,nemo
99,5,4,لَهَا,17.618,17.856,,native,100.0,nemo
99,6,1,یَوۡمَئِذࣲ,18.514,19.18,,native,100.0,nemo
99,6,2,یَصۡدُرُ,19.49,20.177,,native,100.0,nemo
99,6,3,ٱلنَّاسُ,20.684,20.805,,native,100.0,nemo
99,6,4,أَشۡتَاتࣰا,21.519,22.205,,native,100.0,nemo
99,6,5,لِّیُرَوۡا۟,22.463,23.091,,native,100.0,nemo
99,6,6,أَعۡمَـٰلَهُمۡ,23.409,24.154,,native,100.0,nemo
99,7,1,فَمَن,24.656,24.81,,native,100.0,nemo
99,7,2,یَعۡمَلۡ,25.132,25.56,,native,100.0,nemo
99,7,3,مِثۡقَالَ,25.876,26.667,,native,100.0,nemo
99,7,4,ذَرَّةٍ,26.667,27.174,,native,100.0,nemo
99,7,5,خَیۡرࣰا,27.46,28.193,,native,100.0,nemo
99,7,6,یَرَهُۥ,28.655,29.248,,native,100.0,nemo
99,8,1,وَمَن,29.478,29.498,,native,100.0,nemo
99,8,2,یَعۡمَلۡ,30.566,30.893,,native,100.0,nemo
99,8,3,مِثۡقَالَ,31.197,32.026,,native,100.0,nemo
99,8,4,ذَرَّةࣲ,32.026,32.489,,native,100.0,nemo
99,8,5,شَرࣰّا,32.997,33.734,,native,100.0,nemo
99,8,6,یَرَهُۥ,34.028,34.819,,native,100.0,nemo
