surah,ayah,start_s,end_s,source
87,1,2.621,5.365,aligned
87,2,5.941,7.68,aligned
87,3,8.308,9.887,aligned
87,4,10.853,13.206,aligned
87,5,13.448,16.801,aligned
87,6,16.801,18.642,aligned
87,7,19.204,25.899,aligned
87,8,26.165,27.651,aligned
87,9,27.96,31.122,aligned
87,10,31.475,33.974,aligned
87,11,34.249,35.068,aligned
87,12,35.477,37.91,aligned
87,13,38.531,41.538,aligned
87,14,41.886,44.448,aligned
87,15,44.911,46.984,aligned
87,16,47.316,51.047,aligned
87,17,51.234,54.471,aligned
87,18,55.13,58.526,aligned
87,19,58.526,60.52,aligned
