surah,ayah,start_s,end_s,source
96,1,2.72,4.96,aligned
96,2,5.6,8.08,aligned
96,3,8.48,10.64,aligned
96,4,10.96,12.8,aligned
96,5,13.2,15.84,aligned
96,6,16.4,19.76,aligned
96,7,20.0,21.52,aligned
96,8,22.08,24.4,aligned
96,9,24.64,26.56,aligned
96,10,26.64,28.0,aligned
96,11,28.56,31.04,aligned
96,12,31.36,32.88,aligned
96,13,33.28,36.0,aligned
96,14,36.4,39.68,aligned
96,15,40.24,44.56,aligned
96,16,44.88,47.68,aligned
96,17,47.84,49.36,aligned
96,18,49.52,50.88,aligned
96,19,51.36,56.698,aligned
