surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
98,1,1,لَمۡ,3.809,4.003,,native,100.0,nemo
98,1,2,یَكُنِ,4.055,4.749,,native,100.0,nemo
98,1,3,ٱلَّذِینَ,4.77,5.08,,native,100.0,nemo
98,1,4,كَفَرُوا۟,5.571,6.122,,native,100.0,nemo
98,1,5,مِنۡ,6.394,6.524,,native,100.0,nemo
98,1,6,أَهۡلِ,6.664,7.174,,native,100.0,nemo
98,1,7,ٱلۡكِتَـٰبِ,7.337,7.357,,native,100.0,nemo
98,1,8,وَٱلۡمُشۡرِكِینَ,8.279,9.305,,native,100.0,nemo
98,1,9,مُنفَكِّینَ,9.482,10.866,,native,100.0,nemo
98,1,10,حَتَّىٰ,11.115,11.38,,native,100.0,nemo
98,1,11,تَأۡتِیَهُمُ,11.82,12.572,,native,100.0,nemo
98,1,12,ٱلۡبَیِّنَةُ,13.108,14.022,,native,100.0,nemo
98,2,1,رَسُولࣱ,14.706,14.819,,native,100.0,nemo
98,2,2,مِّنَ,15.568,15.876,,native,100.0,nemo
98,2,3,ٱللَّهِ,16.099,16.134,,native,100.0,nemo
98,2,4,یَتۡلُوا۟,16.693,17.53,,native,100.0,nemo
98,2,5,صُحُفࣰا,17.585,18.228,,native,100.0,nemo
98,2,6,مُّطَهَّرَةࣰ,18.386,19.627,,native,100.0,nemo
98,3,1,فِیهَا,19.909,19.99,,native,100.0,nemo
98,3,2,كُتُبࣱ,20.657,21.074,,native,100.0,nemo
98,3,3,قَیِّمَةࣱ,21.685,22.311,,native,100.0,nemo
98,4,1,وَمَا,22.92,23.19,,native,100.0,nemo
98,4,2,تَفَرَّقَ,23.604,24.315,,native,100.0,nemo
98,4,3,ٱلَّذِینَ,24.521,24.603,,native,100.0,nemo
98,4,4,أُوتُوا۟,25.435,26.12,,native,100.0,nemo
98,4,5,ٱلۡكِتَـٰبَ,26.167,26.44,,native,100.0,nemo
98,4,6,إِلَّا,27.073,27.093,,native,100.0,nemo
98,4,7,مِنۢ,27.629,27.669,,native,100.0,nemo
98,4,8,بَعۡدِ,28.281,28.301,,native,100.0,nemo
98,4,9,مَا,28.805,28.842,,native,100.0,nemo
98,4,10,جَاۤءَتۡهُمُ,29.25,30.77,,native,100.0,nemo
98,4,11,ٱلۡبَیِّنَةُ,31.454,32.341,,native,100.0,nemo
98,5,1,وَمَاۤ,32.817,33.067,,native,100.0,nemo
98,5,2,أُمِرُوۤا۟,33.41,34.145,,native,100.0,nemo
98,5,3,إِلَّا,34.145,34.165,,native,100.0,nemo
98,5,4,لِیَعۡبُدُوا۟,34.808,35.719,,native,100.0,nemo
98,5,5,ٱللَّهَ,35.896,35.916,,native,100.0,nemo
