surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
97,1,1,إِنَّاۤ,3.97,4.757,,native,100.0,nemo
97,1,2,أَنزَلۡنَـٰهُ,4.795,6.261,,native,100.0,nemo
97,1,3,فِی,6.545,6.729,,native,100.0,nemo
97,1,4,لَیۡلَةِ,6.854,7.482,,native,100.0,nemo
97,1,5,ٱلۡقَدۡرِ,7.958,8.243,,native,100.0,nemo
97,2,1,وَمَاۤ,9.071,9.133,,native,100.0,nemo
97,2,2,أَدۡرَىٰكَ,9.587,10.407,,native,100.0,nemo
97,2,3,مَا,10.63,10.65,,native,100.0,nemo
97,2,4,لَیۡلَةُ,11.102,11.657,,native,100.0,nemo
97,2,5,ٱلۡقَدۡرِ,12.079,12.384,,native,100.0,nemo
97,3,1,لَیۡلَةُ,12.927,13.531,,native,100.0,nemo
97,3,2,ٱلۡقَدۡرِ,13.9,14.092,,native,100.0,nemo
97,3,3,خَیۡرࣱ,14.513,14.886,,native,100.0,nemo
97,3,4,مِّنۡ,15.481,15.776,,native,100.0,nemo
97,3,5,أَلۡفِ,16.287,16.307,,native,100.0,nemo
97,3,6,شَهۡرࣲ,16.544,16.976,,native,100.0,nemo
97,4,1,تَنَزَّلُ,17.445,17.891,,native,100.0,nemo
97,4,2,ٱلۡمَلَـٰۤئِكَةُ,18.461,20.645,,native,100.0,nemo
97,4,3,وَٱلرُّوحُ,20.814,21.606,,native,100.0,nemo
97,4,4,فِیهَا,21.826,21.88,,native,100.0,nemo
97,4,5,بِإِذۡنِ,22.637,23.36,,native,100.0,nemo
97,4,6,رَبِّهِم,23.558,24.109,,native,100.0,nemo
97,4,7,مِّن,24.542,24.562,,native,100.0,nemo
97,4,8,كُلِّ,25.125,25.145,,native,100.0,nemo
97,4,9,أَمۡرࣲ,25.747,26.359,,native,100.0,nemo
97,5,1,سَلَـٰمٌ,26.635,27.15,,native,100.0,nemo
97,5,2,هِیَ,27.812,27.832,,native,100.0,nemo
97,5,3,حَتَّىٰ,28.341,28.796,,native,100.0,nemo
97,5,4,مَطۡلَعِ,29.437,30.363,,native,100.0,nemo
97,5,5,ٱلۡفَجۡرِ,30.991,31.434,,native,100.0,nemo
