surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
91,1,1,وَٱلشَّمۡسِ,6.732,7.619,,native,100.0,nemo
91,1,2,وَضُحَىٰهَا,7.774,8.857,,native,100.0,nemo
91,2,1,وَٱلۡقَمَرِ,10.307,11.011,,native,100.0,nemo
91,2,2,إِذَا,11.484,11.733,,native,100.0,nemo
91,2,3,تَلَىٰهَا,12.159,12.936,,native,100.0,nemo
91,3,1,وَٱلنَّهَارِ,14.744,16.203,,native,100.0,nemo
91,3,2,إِذَا,17.0,17.318,,native,100.0,nemo
91,3,3,جَلَّىٰهَا,17.46,18.359,,native,100.0,nemo
91,4,1,وَٱلَّیۡلِ,20.04,20.475,,native,100.0,nemo
91,4,2,إِذَا,21.394,21.683,,native,100.0,nemo
91,4,3,یَغۡشَىٰهَا,21.82,22.902,,native,100.0,nemo
91,5,1,وَٱلسَّمَاۤءِ,24.282,27.511,,native,100.0,nemo
91,5,2,وَمَا,27.672,27.931,,native,100.0,nemo
91,5,3,بَنَىٰهَا,28.4,29.12,,native,100.0,nemo
91,6,1,وَٱلۡأَرۡضِ,30.529,31.258,,native,100.0,nemo
91,6,2,وَمَا,31.659,31.679,,native,100.0,nemo
91,6,3,طَحَىٰهَا,32.121,32.896,,native,100.0,nemo
91,7,1,وَنَفۡسࣲ,34.282,35.02,,native,100.0,nemo
91,7,2,وَمَا,36.373,36.516,,native,100.0,nemo
91,7,3,سَوَّىٰهَا,37.04,37.961,,native,100.0,nemo
91,8,1,فَأَلۡهَمَهَا,39.44,40.785,,native,100.0,nemo
91,8,2,فُجُورَهَا,41.084,41.993,,native,100.0,nemo
91,8,3,وَتَقۡوَىٰهَا,42.297,43.575,,native,100.0,nemo
91,9,1,قَدۡ,45.048,45.159,,native,100.0,nemo
91,9,2,أَفۡلَحَ,45.557,46.032,,native,100.0,nemo
91,9,3,مَن,46.214,46.298,,native,100.0,nemo
91,9,4,زَكَّىٰهَا,47.604,48.614,,native,100.0,nemo
91,10,1,وَقَدۡ,50.36,50.39,,native,100.0,nemo
91,10,2,خَابَ,50.849,51.266,,native,100.0,nemo
91,10,3,مَن,51.503,51.523,,native,100.0,nemo
91,10,4,دَسَّىٰهَا,52.816,53.809,,native,100.0,nemo
91,11,1,كَذَّبَتۡ,55.402,56.496,,native,100.0,nemo
91,11,2,ثَمُودُ,56.56,57.307,,native,100.0,nemo
91,11,3,بِطَغۡوَىٰهَاۤ,57.504,58.869,,native,100.0,nemo
91,12,1,إِذِ,60.128,60.498,,native,100.0,nemo
91,12,2,ٱنۢبَعَثَ,60.911,62.405,,native,100.0,nemo
91,12,3,أَشۡقَىٰهَا,62.612,63.758,,native,100.0,nemo
91,13,1,فَقَالَ,65.007,65.265,,native,100.0,nemo
91,13,2,لَهُمۡ,65.859,65.905,,native,100.0,nemo
91,13,3,رَسُولُ,66.805,66.841,,native,100.0,nemo
91,13,4,ٱللَّهِ,67.507,67.56,,native,100.0,nemo
91,13,5,نَاقَةَ,68.335,68.965,,native,100.0,nemo
91,13,6,ٱللَّهِ,69.391,69.411,,native,100.0,nemo
91,13,7,وَسُقۡیَـٰهَا,69.88,71.257,,native,100.0,nemo
91,14,1,فَكَذَّبُوهُ,72.964,74.52,,native,100.0,nemo
91,14,2,فَعَقَرُوهَا,74.583,75.754,,native,100.0,nemo
91,14,3,فَدَمۡدَمَ,76.167,77.057,,native,100.0,nemo
91,14,4,عَلَیۡهِمۡ,77.435,78.052,,native,100.0,nemo
91,14,5,رَبُّهُم,78.342,79.237,,native,100.0,nemo
91,14,6,بِذَنۢبِهِمۡ,80.572,82.474,,native,100.0,nemo
91,14,7,فَسَوَّىٰهَا,82.908,84.143,,native,100.0,nemo
91,15,1,وَلَا,85.692,85.729,,native,100.0,nemo
91,15,2,یَخَافُ,86.462,87.171,,native,100.0,nemo
91,15,3,عُقۡبَـٰهَا,87.38,88.395,,native,100.0,nemo
