surah,ayah,start_s,end_s,source
90,1,2.663,5.751,aligned
90,2,5.966,8.728,aligned
90,3,9.016,10.494,aligned
90,4,10.784,13.994,aligned
90,5,14.281,17.388,aligned
90,6,17.771,20.516,aligned
90,7,20.789,22.834,aligned
90,8,23.243,26.268,aligned
90,9,26.268,28.578,aligned
90,10,28.868,30.008,aligned
90,11,30.357,32.262,aligned
90,12,32.614,34.826,aligned
90,13,35.08,35.729,aligned
90,14,36.005,40.223,aligned
90,15,40.595,41.813,aligned
90,16,42.08,44.522,aligned
90,17,45.154,52.404,aligned
90,18,52.526,55.317,aligned
90,19,55.454,60.524,aligned
90,20,60.524,62.668,aligned
