surah,ayah,start_s,end_s,source
96,1,6.96,10.16,aligned
96,2,11.76,15.36,aligned
96,3,16.48,19.12,aligned
96,4,20.64,23.28,aligned
96,5,24.64,28.72,aligned
96,6,30.48,38.0,aligned
96,7,40.16,44.24,aligned
96,8,46.08,49.68,aligned
96,9,51.36,56.56,aligned
96,10,57.84,59.84,aligned
96,11,61.6,67.76,aligned
96,12,69.2,71.04,aligned
96,13,73.52,80.08,aligned
96,14,81.68,87.12,aligned
96,15,88.72,96.56,aligned
96,16,97.84,102.48,aligned
96,17,103.52,105.52,aligned
96,18,106.48,108.48,aligned
96,19,109.92,116.469,aligned
