surah,ayah,start_s,end_s,source
90,1,3.702,8.085,aligned
90,2,8.306,12.13,aligned
90,3,12.537,13.939,aligned
90,4,14.352,18.43,aligned
90,5,18.944,22.558,aligned
90,6,23.101,26.491,aligned
90,7,26.837,29.863,aligned
90,8,30.217,33.47,aligned
90,9,33.614,36.193,aligned
90,10,36.375,38.005,aligned
90,11,38.358,40.566,aligned
90,12,40.929,43.55,aligned
90,13,43.945,44.738,aligned
90,14,45.232,50.672,aligned
90,15,50.74,52.232,aligned
90,16,52.754,55.944,aligned
90,17,56.432,65.889,aligned
90,18,66.106,69.445,aligned
90,19,69.687,76.028,aligned
90,20,76.177,79.28,aligned
