surah,ayah,start_s,end_s,source
87,1,3.682,6.599,aligned
87,2,6.971,8.707,aligned
87,3,9.406,12.026,aligned
87,4,12.71,15.181,aligned
87,5,15.541,19.984,aligned
87,6,19.984,21.738,aligned
87,7,22.421,30.527,aligned
87,8,30.673,32.733,aligned
87,9,33.076,36.786,aligned
87,10,37.091,40.156,aligned
87,11,40.336,41.007,aligned
87,12,41.503,45.128,aligned
87,13,45.641,49.477,aligned
87,14,49.818,52.699,aligned
87,15,53.159,55.901,aligned
87,16,56.315,60.69,aligned
87,17,60.915,63.902,aligned
87,18,64.544,68.411,aligned
87,19,68.411,71.976,aligned
