surah,ayah,start_s,end_s,source
87,1,0.0,2.836,aligned
87,2,3.226,4.827,aligned
87,3,5.556,7.732,aligned
87,4,9.601,12.367,aligned
87,5,12.709,17.386,aligned
87,6,17.408,21.054,aligned
87,7,21.7,31.966,aligned
87,8,32.042,34.011,aligned
87,9,34.44,38.14,aligned
87,10,38.722,42.14,aligned
87,11,42.443,43.355,aligned
87,12,43.621,47.44,aligned
87,13,48.275,51.827,aligned
87,14,52.28,55.85,aligned
87,15,56.28,58.812,aligned
87,16,59.175,63.453,aligned
87,17,63.453,66.471,aligned
87,18,67.564,71.646,aligned
87,19,71.646,74.597,aligned
