surah,ayah,start_s,end_s,source
87,1,5.2,9.44,aligned
87,2,9.6,13.36,aligned
87,3,13.6,17.36,aligned
87,4,19.6,23.44,aligned
87,5,23.68,29.44,aligned
87,6,29.6,33.44,aligned
87,7,34.16,47.44,aligned
87,8,47.68,51.28,aligned
87,9,51.76,56.96,aligned
87,10,57.6,63.2,aligned
87,11,63.36,65.68,aligned
87,12,66.0,71.04,aligned
87,13,72.4,77.52,aligned
87,14,77.84,83.04,aligned
87,15,83.44,87.36,aligned
87,16,87.68,94.72,aligned
87,17,95.04,99.84,aligned
87,18,101.12,107.12,aligned
87,19,107.36,112.501,aligned
