surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
88,1,1,هَلۡ,6.4,6.48,
88,1,2,أَتَىٰكَ,6.8,7.44,
88,1,3,حَدِیثُ,7.6,8.32,
88,1,4,ٱلۡغَـٰشِیَةِ,8.64,9.6,
88,2,1,وُجُوهࣱ,10.96,11.76,
88,2,2,یَوۡمَئِذٍ,11.84,14.0,
88,2,3,خَـٰشِعَةٌ,14.32,15.28,
88,3,1,عَامِلَةࣱ,16.48,17.36,
88,3,2,نَّاصِبَةࣱ,18.56,19.76,
88,4,1,تَصۡلَىٰ,20.8,21.44,
88,4,2,نَارًا,21.68,22.32,
88,4,3,حَامِیَةࣰ,22.56,23.52,
88,5,1,تُسۡقَىٰ,24.64,25.2,
88,5,2,مِنۡ,25.6,25.68,
88,5,3,عَیۡنٍ,26.0,26.48,
88,5,4,ءَانِیَةࣲ,26.8,28.96,
88,6,1,لَّیۡسَ,30.96,31.36,
88,6,2,لَهُمۡ,31.6,31.68,
88,6,3,طَعَامٌ,32.24,32.88,
88,6,4,إِلَّا,33.36,33.44,
88,6,5,مِن,34.08,34.16,
88,6,6,ضَرِیعࣲ,35.28,37.2,
88,7,1,لَّا,38.56,38.64,
88,7,2,یُسۡمِنُ,38.88,39.52,
88,7,3,وَلَا,39.92,40.0,
88,7,4,یُغۡنِی,40.24,41.12,
88,7,5,مِن,41.44,41.52,
88,7,6,جُوعࣲ,42.8,44.56,
88,8,1,وُجُوهࣱ,46.16,47.04,
88,8,2,یَوۡمَئِذࣲ,47.04,49.84,
88,8,3,نَّاعِمَةࣱ,50.16,51.12,
88,9,1,لِّسَعۡیِهَا,52.32,53.36,
88,9,2,رَاضِیَةࣱ,53.68,55.92,
88,10,1,فِی,55.92,56.08,
88,10,2,جَنَّةٍ,56.32,57.6,
88,10,3,عَالِیَةࣲ,58.16,59.2,
88,11,1,لَّا,60.08,60.16,
88,11,2,تَسۡمَعُ,60.48,60.96,
88,11,3,فِیهَا,61.28,61.92,
88,11,4,لَـٰغِیَةࣰ,62.4,64.72,
88,12,1,فِیهَا,65.12,65.44,
88,12,2,عَیۡنࣱ,65.52,66.32,
88,12,3,جَارِیَةࣱ,67.36,69.68,
88,13,1,فِیهَا,70.08,70.4,
88,13,2,سُرُرࣱ,70.48,71.36,
88,13,3,مَّرۡفُوعَةࣱ,72.08,73.44,
88,14,1,وَأَكۡوَابࣱ,74.56,75.84,
88,14,2,مَّوۡضُوعَةࣱ,76.88,78.4,
88,15,1,وَنَمَارِقُ,79.12,80.16,
88,15,2,مَصۡفُوفَةࣱ,80.48,81.92,
88,16,1,وَزَرَابِیُّ,82.72,83.84,
88,16,2,مَبۡثُوثَةٌ,84.32,85.44,
88,17,1,أَفَلَا,86.88,87.36,
88,17,2,یَنظُرُونَ,87.36,89.76,
88,17,3,إِلَى,90.08,90.4,
88,17,4,ٱلۡإِبِلِ,90.56,91.04,
88,17,5,كَیۡفَ,91.2,91.68,
88,17,6,خُلِقَتۡ,91.76,92.48,
88,18,1,وَإِلَى,93.76,94.24,
88,18,2,ٱلسَّمَاۤءِ,94.56,97.04,
88,18,3,كَیۡفَ,97.28,97.84,
88,18,4,رُفِعَتۡ,97.92,98.72,
88,19,1,وَإِلَى,99.84,100.32,
88,19,2,ٱلۡجِبَالِ,100.64,101.28,
88,19,3,كَیۡفَ,101.6,101.92,
88,19,4,نُصِبَتۡ,102.24,102.88,
88,20,1,وَإِلَى,104.08,104.56,
88,20,2,ٱلۡأَرۡضِ,104.8,105.2,
88,20,3,كَیۡفَ,105.44,105.92,
88,20,4,سُطِحَتۡ,106.08,106.72,
88,21,1,فَذَكِّرۡ,108.72,109.28,
88,21,2,إِنَّمَاۤ,109.84,111.28,
88,21,3,أَنتَ,113.36,113.44,
88,21,4,مُذَكِّرࣱ,114.88,116.0,
88,22,1,لَّسۡتَ,117.2,117.6,
88,22,2,عَلَیۡهِم,118.0,118.72,
88,22,3,بِمُصَۣیۡطِرٍ,119.84,120.96,
88,23,1,إِلَّا,122.8,122.88,
88,23,2,مَن,123.6,123.68,
88,23,3,تَوَلَّىٰ,124.96,125.84,
88,23,4,وَكَفَرَ,126.16,126.8,
88,24,1,فَیُعَذِّبُهُ,128.0,129.44,
88,24,2,ٱللَّهُ,129.76,129.84,
88,24,3,ٱلۡعَذَابَ,130.64,131.28,
88,24,4,ٱلۡأَكۡبَرَ,131.6,132.16,
88,25,1,إِنَّ,133.6,133.68,
88,25,2,إِلَیۡنَاۤ,135.12,135.84,
88,25,3,إِیَابَهُمۡ,137.76,138.88,
88,26,1,ثُمَّ,140.08,140.16,
88,26,2,إِنَّ,141.6,141.68,
88,26,3,عَلَیۡنَا,142.96,143.68,
88,26,4,حِسَابَهُم,143.92,144.96,
