surah,ayah,start_s,end_s,source
92,1,6.56,8.88,aligned
92,2,10.56,14.0,aligned
92,3,15.44,19.68,aligned
92,4,21.6,24.56,aligned
92,5,26.4,30.24,aligned
92,6,31.84,34.08,aligned
92,7,35.44,38.56,aligned
92,8,40.24,45.12,aligned
92,9,46.8,48.96,aligned
92,10,50.72,53.84,aligned
92,11,55.28,61.68,aligned
92,12,63.84,66.8,aligned
92,13,68.56,75.12,aligned
92,14,76.96,82.48,aligned
92,15,84.48,89.28,aligned
92,16,91.28,93.92,aligned
92,17,95.68,98.88,aligned
92,18,100.8,104.8,aligned
92,19,106.32,114.0,aligned
92,20,115.52,121.2,aligned
92,21,122.32,124.16,aligned
