surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
110,1,1,إِذَا,6.24,6.64,
110,1,2,جَاۤءَ,6.88,9.04,
110,1,3,نَصۡرُ,9.36,9.76,
110,1,4,ٱللَّهِ,10.16,10.24,
110,1,5,وَٱلۡفَتۡحُ,10.8,11.28,
110,2,1,وَرَأَیۡتَ,13.2,14.08,
110,2,2,ٱلنَّاسَ,14.88,14.96,
110,2,3,یَدۡخُلُونَ,15.76,16.8,
110,2,4,فِی,17.04,17.2,
110,2,5,دِینِ,17.44,17.92,
110,2,6,ٱللَّهِ,18.16,18.24,
110,2,7,أَفۡوَاجࣰا,18.8,20.0,
110,3,1,فَسَبِّحۡ,21.44,22.4,
110,3,2,بِحَمۡدِ,22.56,23.04,
110,3,3,رَبِّكَ,23.44,24.08,
110,3,4,وَٱسۡتَغۡفِرۡهُۚ,24.24,25.52,
110,3,5,إِنَّهُۥ,26.64,27.92,
110,3,6,كَانَ,28.24,28.32,
110,3,7,تَوَّابَۢا,28.88,29.76,
