surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
105,1,1,أَلَمۡ,6.8,6.88,
105,1,2,تَرَ,7.36,7.68,
105,1,3,كَیۡفَ,7.84,8.32,
105,1,4,فَعَلَ,8.48,8.56,
105,1,5,رَبُّكَ,9.12,9.76,
105,1,6,بِأَصۡحَـٰبِ,9.92,10.96,
105,1,7,ٱلۡفِیلِ,11.36,12.32,
105,2,1,أَلَمۡ,14.0,14.08,
105,2,2,یَجۡعَلۡ,14.48,15.12,
105,2,3,كَیۡدَهُمۡ,15.52,16.24,
105,2,4,فِی,16.48,16.64,
105,2,5,تَضۡلِیلࣲ,16.96,18.96,
105,3,1,وَأَرۡسَلَ,20.16,20.64,
105,3,2,عَلَیۡهِمۡ,20.8,22.0,
105,3,3,طَیۡرًا,22.24,22.8,
105,3,4,أَبَابِیلَ,22.96,24.08,
105,4,1,تَرۡمِیهِم,26.56,27.6,
105,4,2,بِحِجَارَةࣲ,28.8,30.08,
105,4,3,مِّن,31.04,31.12,
105,4,4,سِجِّیلࣲ,32.16,34.32,
105,5,1,فَجَعَلَهُمۡ,35.92,36.88,
105,5,2,كَعَصۡفࣲ,37.2,38.0,
105,5,3,مَّأۡكُولِۭ,38.96,40.0,
