surah,ayah,start_s,end_s,source
1,1,2.88,5.2,aligned
1,2,5.6,9.68,aligned
1,3,9.76,10.8,aligned
1,4,12.16,14.08,aligned
1,5,15.04,19.2,aligned
1,6,19.76,22.56,aligned
1,7,23.28,36.0,aligned
