surah,ayah,start_s,end_s,source
60,1,1.12,100.0,aligned
60,2,100.96,130.24,aligned
60,3,134.72,156.32,aligned
60,4,158.48,244.08,aligned
60,5,247.12,262.8,aligned
60,6,265.84,287.28,aligned
60,7,290.32,312.32,aligned
60,8,312.48,342.56,aligned
60,9,342.72,381.12,aligned
60,10,381.28,487.04,aligned
60,11,487.76,525.6,aligned
60,12,526.4,597.76,aligned
60,13,597.92,626.371,aligned
