surah,ayah,start_s,end_s,source
60,1,0.72,46.88,aligned
60,2,47.28,58.8,aligned
60,3,59.68,69.12,aligned
60,4,69.52,107.84,aligned
60,5,108.4,116.96,aligned
60,6,117.52,129.28,aligned
60,7,129.84,142.64,aligned
60,8,142.8,158.64,aligned
60,9,158.64,176.48,aligned
60,10,176.56,220.4,aligned
60,11,220.56,236.24,aligned
60,12,236.4,265.68,aligned
60,13,265.76,281.445,aligned
