surah,ayah,start_s,end_s,source
92,1,0.16,2.0,aligned
92,2,2.4,5.52,aligned
92,3,5.76,9.44,aligned
92,4,10.24,12.4,aligned
92,5,13.28,16.24,aligned
92,6,16.56,18.4,aligned
92,7,18.48,21.2,aligned
92,8,22.0,25.52,aligned
92,9,25.84,27.76,aligned
92,10,27.84,30.56,aligned
92,11,31.2,35.84,aligned
92,12,36.72,39.44,aligned
92,13,40.08,43.84,aligned
92,14,54.32,58.88,aligned
92,15,59.04,62.56,aligned
92,16,62.72,65.84,aligned
92,17,66.4,68.88,aligned
92,18,68.96,72.4,aligned
92,19,72.96,78.8,aligned
92,20,79.44,85.04,aligned
92,21,85.6,87.6,aligned
