surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
95,1,1,وَٱلتِّینِ,0.16,0.72,
95,1,2,وَٱلزَّیۡتُونِ,0.88,1.84,
95,2,1,وَطُورِ,2.08,2.64,
95,2,2,سِینِینَ,2.88,4.0,
95,3,1,وَهَـٰذَا,4.0,4.08,
95,3,2,ٱلۡبَلَدِ,4.56,5.12,
95,3,3,ٱلۡأَمِینِ,5.28,6.0,
95,4,1,لَقَدۡ,6.64,6.72,
95,4,2,خَلَقۡنَا,7.2,8.0,
95,4,3,ٱلۡإِنسَـٰنَ,8.24,9.68,
95,4,4,فِیۤ,10.0,10.32,
95,4,5,أَحۡسَنِ,11.12,11.52,
95,4,6,تَقۡوِیمࣲ,11.92,12.88,
95,5,1,ثُمَّ,13.36,13.44,
95,5,2,رَدَدۡنَـٰهُ,14.08,15.12,
95,5,3,أَسۡفَلَ,15.28,15.76,
95,5,4,سَـٰفِلِینَ,16.0,16.96,
95,6,1,إِلَّا,18.16,18.24,
95,6,2,ٱلَّذِینَ,18.72,19.28,
95,6,3,ءَامَنُوا۟,19.44,20.24,
95,6,4,وَعَمِلُوا۟,20.4,21.12,
95,6,5,ٱلصَّـٰلِحَـٰتِ,21.28,21.92,
95,6,6,فَلَهُمۡ,22.4,22.88,
95,6,7,أَجۡرٌ,23.12,23.44,
95,6,8,غَیۡرُ,23.92,24.24,
95,6,9,مَمۡنُونࣲ,24.48,25.6,
95,7,1,فَمَا,26.4,26.72,
95,7,2,یُكَذِّبُكَ,26.8,28.08,
95,7,3,بَعۡدُ,28.24,28.32,
95,7,4,بِٱلدِّینِ,28.88,29.84,
95,8,1,أَلَیۡسَ,30.48,31.12,
95,8,2,ٱللَّهُ,31.44,31.52,
95,8,3,بِأَحۡكَمِ,32.16,32.8,
95,8,4,ٱلۡحَـٰكِمِینَ,33.44,34.56,
