surah,ayah,start_s,end_s,source
92,1,3.92,6.0,existing
92,2,6.4,8.8,existing
92,3,9.2,12.24,existing
92,4,12.48,14.72,existing
92,5,15.76,18.4,existing
92,6,18.72,20.56,existing
92,7,20.72,23.44,existing
92,8,24.0,26.96,existing
92,9,27.28,29.04,existing
92,10,29.2,31.76,existing
92,11,32.48,36.64,existing
92,12,37.44,39.52,existing
92,13,39.84,43.52,existing
92,14,44.16,48.4,existing
92,15,48.72,51.76,existing
92,16,52.8,55.04,existing
92,17,55.84,58.24,existing
92,18,58.48,61.76,existing
92,19,62.48,68.0,existing
92,20,68.32,72.96,existing
92,21,73.76,75.92,existing
