surah,ayah,start_s,end_s,source
88,1,2.64,5.04,existing
88,2,5.28,8.0,existing
88,3,8.16,10.16,existing
88,4,10.24,12.32,existing
88,5,12.4,14.8,existing
88,6,14.96,18.4,existing
88,7,18.56,21.76,existing
88,8,21.92,24.72,existing
88,9,24.88,26.56,existing
88,10,26.8,28.8,existing
88,11,28.88,31.36,existing
88,12,31.52,33.84,existing
88,13,34.0,36.32,existing
88,14,36.4,38.64,existing
88,15,38.8,40.64,existing
88,16,40.8,42.72,existing
88,17,42.96,46.64,existing
88,18,46.88,49.84,existing
88,19,50.0,52.16,existing
88,20,52.4,54.4,existing
88,21,54.88,57.84,existing
88,22,58.24,60.4,existing
88,23,60.88,63.12,existing
88,24,63.52,66.56,existing
88,25,67.04,69.2,existing
88,26,69.68,73.44,existing
