surah,ayah,start_s,end_s,source
87,1,0.08,3.04,existing
87,2,3.12,5.36,existing
87,3,5.52,8.4,existing
87,4,9.52,12.48,existing
87,5,12.72,17.28,existing
87,6,17.44,21.12,existing
87,7,21.76,32.08,existing
87,8,32.16,34.08,existing
87,9,34.56,38.24,existing
87,10,38.64,42.16,existing
87,11,42.4,43.76,existing
87,12,43.92,47.52,existing
87,13,48.24,51.84,existing
87,14,52.16,55.92,existing
87,15,56.16,58.88,existing
87,16,59.12,63.36,existing
87,17,63.52,66.56,existing
87,18,67.52,71.76,existing
87,19,72.0,77.339,existing
