surah,ayah,start_s,end_s,source
89,1,0.16,0.72,existing
89,2,1.04,2.72,existing
89,3,3.6,5.44,existing
89,4,5.92,7.68,existing
89,5,8.24,11.36,existing
89,6,12.0,15.76,existing
89,7,16.56,18.72,existing
89,8,20.16,24.0,existing
89,9,25.44,29.52,existing
89,10,30.64,32.88,existing
89,11,33.12,35.36,existing
89,12,35.6,38.16,existing
89,13,38.8,42.64,existing
89,14,43.36,46.48,existing
89,15,47.2,59.12,existing
89,16,59.76,69.44,existing
89,17,69.84,73.84,existing
89,18,74.56,80.88,existing
89,19,82.16,91.04,existing
89,20,91.92,98.08,existing
89,21,98.8,107.6,existing
89,22,108.4,115.92,existing
89,23,116.64,130.48,existing
89,24,131.2,135.44,existing
89,25,135.92,141.6,existing
89,26,142.0,146.96,existing
89,27,147.04,154.64,existing
89,28,155.28,162.64,existing
89,29,162.88,165.36,existing
89,30,165.68,168.8,existing
