surah,ayah,start_s,end_s,source
96,1,3.92,6.64,existing
96,2,7.68,11.12,existing
96,3,11.6,13.92,existing
96,4,14.16,16.24,existing
96,5,16.48,19.6,existing
96,6,20.48,24.4,existing
96,7,24.64,26.48,existing
96,8,27.28,29.92,existing
96,9,30.48,32.8,existing
96,10,32.96,34.96,existing
96,11,35.52,38.72,existing
96,12,38.96,40.8,existing
96,13,41.44,44.8,existing
96,14,45.28,49.12,existing
96,15,49.76,55.2,existing
96,16,55.6,59.2,existing
96,17,59.6,61.52,existing
96,18,61.76,63.92,existing
96,19,64.48,70.933,existing
