surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
89,1,1,وَٱلۡفَجۡرِ,0.16,0.72,,native,,existing
89,2,1,وَلَیَالٍ,1.04,1.76,,native,,existing
89,2,2,عَشۡرࣲ,2.24,2.72,,native,,existing
89,3,1,وَٱلشَّفۡعِ,3.6,4.24,,native,,existing
89,3,2,وَٱلۡوَتۡرِ,4.64,5.44,,native,,existing
89,4,1,وَٱلَّیۡلِ,5.92,6.64,,native,,existing
89,4,2,إِذَا,6.8,7.12,,native,,existing
89,4,3,یَسۡرِ,7.28,7.68,,native,,existing
89,5,1,هَلۡ,8.24,8.32,,native,,existing
89,5,2,فِی,8.56,8.88,,native,,existing
89,5,3,ذَ,8.96,9.04,,native,,existing
89,5,4,ٰلِكَ,9.36,9.44,,native,,existing
89,5,5,قَسَمࣱ,9.6,10.32,,native,,existing
89,5,6,لِّذِی,10.4,10.88,,native,,existing
89,5,7,حِجۡرٍ,10.96,11.36,,native,,existing
89,6,1,أَلَمۡ,12.0,12.08,,native,,existing
89,6,2,تَرَ,12.56,12.8,,native,,existing
89,6,3,كَیۡفَ,12.96,13.84,,native,,existing
89,6,4,فَعَلَ,13.92,14.0,,native,,existing
89,6,5,رَبُّكَ,14.16,14.72,,native,,existing
89,6,6,بِعَادٍ,14.88,15.76,,native,,existing
89,7,1,إِرَمَ,16.56,17.04,,native,,existing
89,7,2,ذَاتِ,17.2,17.68,,native,,existing
89,7,3,ٱلۡعِمَادِ,17.92,18.72,,native,,existing
89,8,1,ٱلَّتِی,20.16,20.64,,native,,existing
89,8,2,لَمۡ,20.8,20.88,,native,,existing
89,8,3,یُخۡلَقۡ,21.04,21.84,,native,,existing
89,8,4,مِثۡلُهَا,22.0,22.72,,native,,existing
89,8,5,فِی,22.88,23.28,,native,,existing
89,8,6,ٱلۡبِلَـٰدِ,23.28,24.0,,native,,existing
89,9,1,وَثَمُودَ,25.44,26.24,,native,,existing
89,9,2,ٱلَّذِینَ,26.24,26.96,,native,,existing
89,9,3,جَابُوا۟,27.2,27.84,,native,,existing
89,9,4,ٱلصَّخۡرَ,27.92,28.32,,native,,existing
89,9,5,بِٱلۡوَادِ,28.56,29.52,,native,,existing
89,10,1,وَفِرۡعَوۡنَ,30.64,31.52,,native,,existing
89,10,2,ذِی,31.76,32.0,,native,,existing
89,10,3,ٱلۡأَوۡتَادِ,32.08,32.88,,native,,existing
89,11,1,ٱلَّذِینَ,33.12,33.6,,native,,existing
89,11,2,طَغَوۡا۟,33.84,34.4,,native,,existing
89,11,3,فِی,34.48,34.72,,native,,existing
89,11,4,ٱلۡبِلَـٰدِ,34.88,35.36,,native,,existing
89,12,1,فَأَكۡثَرُوا۟,35.6,36.64,,native,,existing
89,12,2,فِیهَا,36.8,37.52,,native,,existing
89,12,3,ٱلۡفَسَادَ,37.52,38.16,,native,,existing
89,13,1,فَصَبَّ,38.8,39.44,,native,,existing
89,13,2,عَلَیۡهِمۡ,39.76,40.4,,native,,existing
89,13,3,رَبُّكَ,40.56,41.2,,native,,existing
89,13,4,سَوۡطَ,41.36,41.84,,native,,existing
89,13,5,عَذَابٍ,42.0,42.64,,native,,existing
89,14,1,إِنَّ,43.36,43.44,,native,,existing
89,14,2,رَبَّكَ,44.24,44.8,,native,,existing
89,14,3,لَبِٱلۡمِرۡصَادِ,45.04,46.48,,native,,existing
89,15,1,فَأَمَّا,47.2,47.84,,native,,existing
89,15,2,ٱلۡإِنسَـٰنُ,48.4,49.76,,native,,existing
89,15,3,إِذَا,50.0,50.4,,native,,existing
89,15,4,مَا,50.48,50.56,,native,,existing
89,15,5,ٱبۡتَلَىٰهُ,50.72,51.6,,native,,existing
89,15,6,رَبُّهُۥ,51.68,52.32,,native,,existing
89,15,7,فَأَكۡرَمَهُۥ,52.56,53.6,,native,,existing
89,15,8,وَنَعَّمَهُۥ,53.76,54.8,,native,,existing
89,15,9,فَیَقُولُ,55.04,55.92,,native,,existing
89,15,10,رَبِّیۤ,56.08,56.64,,native,,existing
89,15,11,أَكۡرَمَنِ,58.4,59.12,,native,,existing
89,16,1,وَأَمَّاۤ,59.76,60.32,,native,,existing
89,16,2,إِذَا,61.76,62.16,,native,,existing
89,16,3,مَا,62.32,62.4,,native,,existing
89,16,4,ٱبۡتَلَىٰهُ,62.56,63.44,,native,,existing
89,16,5,فَقَدَرَ,63.52,64.24,,native,,existing
89,16,6,عَلَیۡهِ,64.4,64.88,,native,,existing
89,16,7,رِزۡقَهُۥ,64.96,65.76,,native,,existing
89,16,8,فَیَقُولُ,65.92,66.8,,native,,existing
89,16,9,رَبِّیۤ,66.96,67.52,,native,,existing
89,16,10,أَهَـٰنَنِ,68.48,69.44,,native,,existing
89,17,1,كَلَّاۖ,69.84,70.32,,native,,existing
89,17,2,بَل,70.96,71.04,,native,,existing
89,17,3,لَّا,71.36,71.44,,native,,existing
89,17,4,تُكۡرِمُونَ,71.68,72.72,,native,,existing
89,17,5,ٱلۡیَتِیمَ,72.96,73.84,,native,,existing
89,18,1,وَلَا,74.56,74.64,,native,,existing
89,18,2,تَحَـٰۤضُّونَ,75.12,78.4,,native,,existing
89,18,3,عَلَىٰ,78.64,78.72,,native,,existing
89,18,4,طَعَامِ,79.12,79.76,,native,,existing
89,18,5,ٱلۡمِسۡكِینِ,80.0,80.88,,native,,existing
89,19,1,وَتَأۡكُلُونَ,82.16,83.28,,native,,existing
89,19,2,ٱلتُّرَاثَ,83.52,84.32,,native,,existing
89,19,3,أَكۡلࣰا,84.4,86.72,,native,,existing
89,19,4,لَّمࣰّا,87.84,91.04,,native,,existing
89,20,1,وَتُحِبُّونَ,91.92,93.12,,native,,existing
89,20,2,ٱلۡمَالَ,93.44,93.84,,native,,existing
89,20,3,حُبࣰّا,94.08,94.8,,native,,existing
89,20,4,جَمࣰّا,97.12,98.08,,native,,existing
89,21,1,كَلَّاۤۖ,98.8,99.28,,native,,existing
89,21,2,إِذَا,102.72,103.04,,native,,existing
89,21,3,دُكَّتِ,103.28,104.08,,native,,existing
89,21,4,ٱلۡأَرۡضُ,104.24,104.8,,native,,existing
89,21,5,دَكࣰّا,104.96,105.68,,native,,existing
89,21,6,دَكࣰّا,106.88,107.6,,native,,existing
89,22,1,وَجَاۤءَ,108.4,111.28,,native,,existing
89,22,2,رَبُّكَ,111.6,112.24,,native,,existing
89,22,3,وَٱلۡمَلَكُ,112.4,113.2,,native,,existing
89,22,4,صَفࣰّا,113.36,114.08,,native,,existing
89,22,5,صَفࣰّا,115.2,115.92,,native,,existing
89,23,1,وَجِا۟یۤءَ,116.64,118.64,,native,,existing
89,23,2,یَوۡمَئِذِۭ,118.72,119.84,,native,,existing
89,23,3,بِجَهَنَّمَۚ,120.96,122.72,,native,,existing
89,23,4,یَوۡمَئِذࣲ,122.8,124.4,,native,,existing
89,23,5,یَتَذَكَّرُ,124.4,125.44,,native,,existing
89,23,6,ٱلۡإِنسَـٰنُ,126.16,127.6,,native,,existing
89,23,7,وَأَنَّىٰ,127.92,128.96,,native,,existing
89,23,8,لَهُ,129.2,129.28,,native,,existing
89,23,9,ٱلذِّكۡرَىٰ,129.68,130.48,,native,,existing
89,24,1,یَقُولُ,131.2,131.76,,native,,existing
89,24,2,یَـٰلَیۡتَنِی,132.0,133.28,,native,,existing
89,24,3,قَدَّمۡتُ,133.36,134.08,,native,,existing
89,24,4,لِحَیَاتِی,134.4,135.44,,native,,existing
89,25,1,فَیَوۡمَئِذࣲ,135.92,137.2,,native,,existing
89,25,2,لَّا,137.28,137.36,,native,,existing
89,25,3,یُعَذِّبُ,137.52,138.56,,native,,existing
89,25,4,عَذَابَهُۥۤ,138.8,139.68,,native,,existing
89,25,5,أَحَدࣱ,140.96,141.6,,native,,existing
89,26,1,وَلَا,142.0,142.08,,native,,existing
89,26,2,یُوثِقُ,142.32,143.2,,native,,existing
89,26,3,وَثَاقَهُۥۤ,143.44,144.4,,native,,existing
89,26,4,أَحَدࣱ,146.48,146.96,,native,,existing
89,27,1,یَـٰۤأَیَّتُهَا,147.04,150.56,,native,,existing
89,27,2,ٱلنَّفۡسُ,151.6,152.24,,native,,existing
89,27,3,ٱلۡمُطۡمَئِنَّةُ,152.72,154.64,,native,,existing
89,28,1,ٱرۡجِعِیۤ,155.28,156.16,,native,,existing
89,28,2,إِلَىٰ,158.08,158.4,,native,,existing
89,28,3,رَبِّكِ,158.64,159.28,,native,,existing
89,28,4,رَاضِیَةࣰ,159.52,160.56,,native,,existing
89,28,5,مَّرۡضِیَّةࣰ,161.28,162.64,,native,,existing
89,29,1,فَٱدۡخُلِی,162.88,163.76,,native,,existing
89,29,2,فِی,164.08,164.56,,native,,existing
89,29,3,عِبَـٰدِی,165.12,165.36,,native,,existing
89,30,1,وَٱدۡخُلِی,165.68,166.64,,native,,existing
89,30,2,جَنَّتِی,166.96,168.8,,native,,existing
