surah,ayah,start_s,end_s,source
90,1,2.72,5.76,existing
90,2,5.92,9.04,existing
90,3,9.12,10.4,existing
90,4,10.8,14.08,existing
90,5,14.32,17.68,existing
90,6,17.76,20.56,existing
90,7,20.8,22.88,existing
90,8,23.2,26.16,existing
90,9,26.32,28.64,existing
90,10,28.88,30.08,existing
90,11,30.32,32.16,existing
90,12,32.56,34.72,existing
90,13,34.96,35.84,existing
90,14,36.08,40.4,existing
90,15,40.48,41.92,existing
90,16,42.08,44.64,existing
90,17,45.12,52.48,existing
90,18,52.64,55.36,existing
90,19,55.44,60.56,existing
90,20,60.72,64.378,existing
