surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
111,1,1,تَبَّتۡ,0.08,0.4,
111,1,2,یَدَاۤ,0.56,1.12,
111,1,3,أَبِی,2.8,3.12,
111,1,4,لَهَبࣲ,3.36,4.08,
111,1,5,وَتَبَّ,4.96,5.52,
111,2,1,مَاۤ,6.24,6.32,
111,2,2,أَغۡنَىٰ,7.04,7.6,
111,2,3,عَنۡهُ,7.84,8.24,
111,2,4,مَالُهُۥ,8.4,8.96,
111,2,5,وَمَا,9.2,9.28,
111,2,6,كَسَبَ,9.68,10.0,
111,3,1,سَیَصۡلَىٰ,10.64,11.52,
111,3,2,نَارࣰا,11.6,12.32,
111,3,3,ذَاتَ,13.2,13.68,
111,3,4,لَهَبࣲ,13.92,14.48,
111,4,1,وَٱمۡرَأَتُهُۥ,14.88,15.92,
111,4,2,حَمَّالَةَ,16.16,17.52,
111,4,3,ٱلۡحَطَبِ,17.84,18.48,
111,5,1,فِی,18.48,18.72,
111,5,2,جِیدِهَا,19.04,19.92,
111,5,3,حَبۡلࣱ,20.16,20.96,
111,5,4,مِّن,21.44,21.52,
111,5,5,مَّسَدِۭ,22.64,23.36,
