surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
105,1,1,أَلَمۡ,4.24,4.32,
105,1,2,تَرَ,4.8,5.04,
105,1,3,كَیۡفَ,5.2,5.68,
105,1,4,فَعَلَ,5.84,5.92,
105,1,5,رَبُّكَ,6.48,7.12,
105,1,6,بِأَصۡحَـٰبِ,7.28,8.24,
105,1,7,ٱلۡفِیلِ,8.64,9.52,
105,2,1,أَلَمۡ,10.16,10.24,
105,2,2,یَجۡعَلۡ,10.4,11.2,
105,2,3,كَیۡدَهُمۡ,11.52,12.24,
105,2,4,فِی,12.48,12.64,
105,2,5,تَضۡلِیلࣲ,12.88,14.8,
105,3,1,وَأَرۡسَلَ,15.12,15.68,
105,3,2,عَلَیۡهِمۡ,16.16,16.8,
105,3,3,طَیۡرًا,17.04,17.6,
105,3,4,أَبَابِیلَ,17.92,18.96,
105,4,1,تَرۡمِیهِم,20.72,21.68,
105,4,2,بِحِجَارَةࣲ,22.32,23.52,
105,4,3,مِّن,24.24,24.4,
105,4,4,سِجِّیلࣲ,25.2,27.52,
105,5,1,فَجَعَلَهُمۡ,27.84,28.96,
105,5,2,كَعَصۡفࣲ,29.36,30.32,
105,5,3,مَّأۡكُولِۭ,31.76,32.8,
