surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
92,1,1,وَٱلَّیۡلِ,3.92,4.72,
92,1,2,إِذَا,4.96,5.28,
92,1,3,یَغۡشَىٰ,5.28,6.0,
92,2,1,وَٱلنَّهَارِ,6.4,7.2,
92,2,2,إِذَا,7.68,8.0,
92,2,3,تَجَلَّىٰ,8.16,8.8,
92,3,1,وَمَا,9.2,9.28,
92,3,2,خَلَقَ,9.68,9.76,
92,3,3,ٱلذَّكَرَ,10.32,10.8,
92,3,4,وَٱلۡأُنثَىٰۤ,11.12,12.24,
92,4,1,إِنَّ,12.48,12.56,
92,4,2,سَعۡیَكُمۡ,13.2,13.92,
92,4,3,لَشَتَّىٰ,14.16,14.72,
92,5,1,فَأَمَّا,15.76,16.24,
92,5,2,مَنۡ,16.64,16.72,
92,5,3,أَعۡطَىٰ,17.04,17.6,
92,5,4,وَٱتَّقَىٰ,17.76,18.4,
92,6,1,وَصَدَّقَ,18.72,19.2,
92,6,2,بِٱلۡحُسۡنَىٰ,19.68,20.56,
92,7,1,فَسَنُیَسِّرُهُۥ,20.72,22.24,
92,7,2,لِلۡیُسۡرَىٰ,22.4,23.44,
92,8,1,وَأَمَّا,24.0,24.48,
92,8,2,مَنۢ,24.96,25.04,
92,8,3,بَخِلَ,25.52,25.84,
92,8,4,وَٱسۡتَغۡنَىٰ,26.24,26.96,
92,9,1,وَكَذَّبَ,27.28,27.76,
92,9,2,بِٱلۡحُسۡنَىٰ,28.16,29.04,
92,10,1,فَسَنُیَسِّرُهُۥ,29.2,30.64,
92,10,2,لِلۡعُسۡرَىٰ,30.8,31.76,
92,11,1,وَمَا,32.48,32.56,
92,11,2,یُغۡنِی,32.8,33.76,
92,11,3,عَنۡهُ,33.92,34.32,
92,11,4,مَالُهُۥۤ,34.56,35.2,
92,11,5,إِذَا,35.52,35.84,
92,11,6,تَرَدَّىٰۤ,36.08,36.64,
92,12,1,إِنَّ,37.44,37.52,
92,12,2,عَلَیۡنَا,38.08,38.56,
92,12,3,لَلۡهُدَىٰ,38.88,39.52,
92,13,1,وَإِنَّ,39.84,40.32,
92,13,2,لَنَا,40.72,40.8,
92,13,3,لَلۡءَاخِرَةَ,41.28,42.48,
92,13,4,وَٱلۡأُولَىٰ,42.72,43.52,
92,14,1,فَأَنذَرۡتُكُمۡ,44.16,45.68,
92,14,2,نَارࣰا,46.0,46.72,
92,14,3,تَلَظَّىٰ,47.52,48.4,
92,15,1,لَا,48.72,48.8,
92,15,2,یَصۡلَىٰهَاۤ,49.04,50.08,
92,15,3,إِلَّا,50.48,50.56,
92,15,4,ٱلۡأَشۡقَى,51.12,51.76,
92,16,1,ٱلَّذِی,52.8,53.28,
92,16,2,كَذَّبَ,53.44,53.76,
92,16,3,وَتَوَلَّىٰ,54.16,55.04,
92,17,1,وَسَیُجَنَّبُهَا,55.84,57.52,
92,17,2,ٱلۡأَتۡقَى,57.68,58.24,
92,18,1,ٱلَّذِی,58.48,58.88,
92,18,2,یُؤۡتِی,58.96,59.6,
92,18,3,مَالَهُۥ,59.84,60.4,
92,18,4,یَتَزَكَّىٰ,60.4,61.76,
92,19,1,وَمَا,62.48,62.56,
92,19,2,لِأَحَدٍ,63.04,63.6,
92,19,3,عِندَهُۥ,64.08,65.04,
92,19,4,مِن,65.36,65.44,
92,19,5,نِّعۡمَةࣲ,65.92,66.64,
92,19,6,تُجۡزَىٰۤ,67.2,68.0,
92,20,1,إِلَّا,68.32,68.4,
92,20,2,ٱبۡتِغَاۤءَ,68.8,70.56,
92,20,3,وَجۡهِ,70.8,70.88,
92,20,4,رَبِّهِ,71.44,72.0,
92,20,5,ٱلۡأَعۡلَىٰ,72.32,72.96,
92,21,1,وَلَسَوۡفَ,73.76,74.72,
92,21,2,یَرۡضَىٰ,75.12,75.92,
