surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
109,1,1,قُلۡ,0.24,0.32,
109,1,2,یَـٰۤأَیُّهَا,0.8,5.84,
109,1,3,ٱلۡكَـٰفِرُونَ,6.16,7.12,
109,2,1,لَاۤ,7.44,7.52,
109,2,2,أَعۡبُدُ,7.84,8.56,
109,2,3,مَا,8.72,8.8,
109,2,4,تَعۡبُدُونَ,9.12,10.0,
109,3,1,وَلَاۤ,11.36,11.44,
109,3,2,أَنتُمۡ,11.92,12.88,
109,3,3,عَـٰبِدُونَ,13.12,14.08,
109,3,4,مَاۤ,14.4,14.48,
109,3,5,أَعۡبُدُ,14.8,15.44,
109,4,1,وَلَاۤ,16.16,16.24,
109,4,2,أَنَا۠,16.64,16.96,
109,4,3,عَابِدࣱ,17.2,18.08,
109,4,4,مَّا,18.48,18.64,
109,4,5,عَبَدتُّمۡ,18.96,20.0,
109,5,1,وَلَاۤ,20.8,20.88,
109,5,2,أَنتُمۡ,21.44,22.4,
109,5,3,عَـٰبِدُونَ,22.64,23.68,
109,5,4,مَاۤ,23.92,24.0,
109,5,5,أَعۡبُدُ,24.4,25.12,
109,6,1,لَكُمۡ,25.36,25.44,
109,6,2,دِینُكُمۡ,26.08,26.96,
109,6,3,وَلِیَ,27.6,28.16,
109,6,4,دِینِ,28.48,28.88,
