surah,ayah,start_s,end_s,source
87,1,3.76,6.8,aligned
87,2,6.88,9.2,aligned
87,3,9.36,12.56,aligned
87,4,12.72,15.28,aligned
87,5,15.52,20.0,aligned
87,6,20.08,21.84,aligned
87,7,22.48,30.64,aligned
87,8,30.72,32.8,aligned
87,9,33.12,36.8,aligned
87,10,37.2,40.08,aligned
87,11,40.32,41.44,aligned
87,12,41.44,45.04,aligned
87,13,45.68,49.52,aligned
87,14,49.84,52.72,aligned
87,15,53.04,56.0,aligned
87,16,56.24,60.64,aligned
87,17,60.96,63.92,aligned
87,18,64.64,68.48,aligned
87,19,68.72,72.898,aligned
