surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
1,1,1,بِسۡمِ,3.76,4.24,
1,1,2,ٱللَّهِ,4.32,4.4,
1,1,3,ٱلرَّحۡمَـٰنِ,5.04,5.12,
1,1,4,ٱلرَّحِیمِ,5.68,6.08,
1,2,1,ٱلۡحَمۡدُ,6.96,7.36,
1,2,2,لِلَّهِ,7.6,7.68,
1,2,3,رَبِّ,8.4,8.48,
1,2,4,ٱلۡعَـٰلَمِینَ,9.04,11.84,
1,3,1,ٱلرَّحۡمَـٰنِ,11.84,11.92,
1,3,2,ٱلرَّحِیمِ,12.24,12.88,
1,4,1,مَـٰلِكِ,14.08,14.72,
1,4,2,یَوۡمِ,14.72,15.2,
1,4,3,ٱلدِّینِ,15.6,16.16,
1,5,1,إِیَّاكَ,17.44,18.24,
1,5,2,نَعۡبُدُ,18.4,19.04,
1,5,3,وَإِیَّاكَ,19.2,20.08,
1,5,4,نَسۡتَعِینُ,20.32,21.2,
1,6,1,ٱهۡدِنَا,22.24,22.88,
1,6,2,ٱلصِّرَ,23.12,23.52,
1,6,3,ٰطَ,23.68,23.76,
1,6,4,ٱلۡمُسۡتَقِیمَ,24.16,25.04,
1,7,1,صِرَ,26.72,27.12,
1,7,2,ٰطَ,27.36,27.44,
1,7,3,ٱلَّذِینَ,27.76,28.56,
1,7,4,أَنۡعَمۡتَ,28.56,29.2,
1,7,5,عَلَیۡهِمۡ,29.6,30.16,
1,7,6,غَیۡرِ,30.48,30.72,
1,7,7,ٱلۡمَغۡضُوبِ,31.2,32.08,
1,7,8,عَلَیۡهِمۡ,32.32,32.96,
1,7,9,وَلَا,33.28,33.36,
1,7,10,ٱلضَّاۤلِّینَ,34.0,36.96,
