surah,ayah,start_s,end_s,source
109,1,0.08,4.72,aligned
109,2,4.96,9.28,aligned
109,3,11.04,17.04,aligned
109,4,17.68,22.88,aligned
109,5,23.44,29.44,aligned
109,6,30.0,32.72,aligned
